DP00007: P27695
DP00011: P0DMM9
DP00012: P13569
DP00016: P38936
DP00023: P14061
DP00030: P04150
DP00040: P17096
DP00054: P78356
DP00062: P19793
DP00069: P63027
DP00070: P37840
DP00072: Q8WZ42
DP00075: P11387
DP00078: P01100
DP00079: Q92731
DP00090: Q14722
DP00092: Q08209
DP00099: P50440
DP00119: P10163
DP00130: P22531
DP00134: Q06787
DP00138: P12272
DP00141: O95405
DP00152: Q13426
DP00156: P54725
DP00168: Q9NVS9
DP00171: P04049
DP00184: P11473
DP00214: P10451
DP00219: O60927
DP00223: P14635
DP00229: P05455
DP00231: P14859
DP00238: P38398
DP00241: P35612
DP00243: P23025
DP00260: P01106
DP00262: Q16665
DP00282: Q04656
DP00298: Q07817
DP00304: P31751
DP00308: P06132
DP00310: P62495
DP00314: Q9UJY5
DP00319: O15350
DP00320: P05121
DP00321: Q9UM07
DP00324: P09651
DP00327: O14832
DP00332: P21815
DP00333: P27797
DP00334: Q00987
DP00356: Q99967
DP00358: Q15185
DP00363: Q16222
DP00378: P08047
DP00385: P49841
DP00420: Q96T21
DP00428: P53350
DP00437: P43351
DP00445: P02511
DP00448: Q9Y613
DP00457: Q9Y3D6
DP00468: P25963
DP00472: P50542
DP00473: Q49AN0
DP00486: Q9UBT2
DP00492: P10275
DP00506: P07766
DP00508: P09693
DP00510: O60356
DP00520: Q969F2
DP00521: O95997
DP00537: O43236
DP00539: P51608
DP00543: Q14061
DP00549: O00488
DP00553: Q9NZ94
DP00554: Q9C000
DP00562: Q9Y296
DP00565: P63098
DP00608: Q13573
DP00611: P30291
DP00616: P02788
DP00630: O76070
DP00633: Q09472
DP00641: P51671
DP00670: Q29983
DP00672: Q92886
DP00694: Q8N488
DP00702: P46937
DP00704: P24522
DP00706: Q15517
DP00716: P02545
DP00718: P37231
DP00747: P01160
DP00748: P46108
DP00765: O00585
DP00793: P05387
DP00794: P50616
DP00816: P41236
DP00841: O14733
DP00864: Q9BQ15
DP00865: Q6P3W2
DP00893: P08240
DP00901: O75496
DP00903: P47813
DP00917: P21583
DP00930: P80723
DP00941: Q93009
DP00951: P17677
DP00953: Q9H832
DP00961: P52630
DP00962: P42224
DP01024: P27708
DP01065: Q9NQI0
DP01066: Q9NQI0-2
DP01068: Q9UBB5
DP01098: Q16222-2
DP01099: O00204-2
DP01100: P10636-8
DP01102: P35637
DP01103: Q13698
DP01104: P46531
DP01108: Q13148
DP01109: P22626
DP01112: P27986
DP01114: P16333
DP01115: Q16236
DP01116: Q03164
DP01117: O60566
DP01118: Q12834
DP01119: P35222
DP01120: P24864
DP01123: P43403
DP01124: Q9Y261
DP01131: O14558
DP01132: Q12778
DP01134: P10071
DP01156: P07305
DP01158: P06899
DP01161: Q9UMS4
DP01164: Q13625
DP01170: O00268
DP01172: O43516
DP01173: Q15726
DP01178: Q14978
DP01192: P55036
DP01203: O75807
DP01224: O43312
DP01228: Q9UMZ1
DP01236: P55735
DP01240: Q9UJX2
DP01241: P19634
DP01244: O76074
DP01252: P01137
DP01253: P05386
DP01254: P12956
DP01268: Q9H816
DP01269: Q8NG31
DP01271: Q15691
DP01280: P05067
DP01282: Q16576
DP01288: O43313
DP01292: P49768
DP01293: Q13542
DP01303: O14519
DP01319: Q15796
DP01325: O43236-6
DP01326: Q9Y4P1
DP01327: Q8IV16
DP01329: P28324
DP01333: O00522
DP01335: O94907
DP01337: Q96B02
DP01344: Q13469
DP01396: P01130
DP01400: P45985
DP01404: Q92913
DP01425: Q15004
DP01427: Q01094
DP01434: P31431
DP01435: O60829
DP01438: O14936
DP01443: Q9UJX4
DP01445: P30260
DP01446: Q9Y239
DP01447: P30281
DP01449: Q15637
DP01450: Q9UKT4
DP01451: Q9UBU9
DP01452: Q13042
DP01457: Q92973
DP01458: Q9Y3B4
DP01461: Q13188
DP01463: Q9UHB7
DP01465: Q8IW19
DP01474: P06748
DP01476: Q02413
DP01480: Q96FI4
DP01484: P04626
DP01486: P11912
DP01487: P40259
DP01490: Q9NR61
DP01491: P22059
DP01493: P09429
DP01507: Q9UQC2
DP01517: Q06710
DP01524: Q9UM11
DP01531: O75554
DP01533: Q9NS23-4
DP01534: Q07889
DP01542: P06401
DP01544: Q8WV28
DP01547: P29274
DP01549: Q8WYP5
DP01551: Q99523
DP01554: P23443
DP01556: Q96GC6
DP01560: Q9UMR2
DP01564: Q12905
DP01570: P12931
DP01588: P52799
DP01597: P52945
DP01598: Q9BRG1
DP01601: P26599
DP01602: Q86WV6
DP01608: Q9Y6H6
DP01613: Q96AC1
DP01619: Q9NR28
DP01620: P20823
DP01622: Q06609
DP01626: Q01831
DP01633: P29083
DP01637: Q8NI22
DP01644: P09038
DP01647: P51449
DP01648: P84022
DP01651: Q96T88
DP01662: P55957
DP01668: P12081
DP01675: O75928
DP01677: P06454
DP01705: Q07666
DP01724: O95644
DP01730: Q7Z3C6
DP01736: P52597
DP01741: Q6PHW0
DP01747: P48788
DP01748: P05556
DP01750: P62877
DP01764: O95718
DP01765: Q9NQA5
DP01767: Q9H1D0
DP01770: P50402
DP01772: Q07912
DP01781: O75112-6
DP01782: Q53GG5
DP01784: Q86UX7
DP01788: P98177
DP01790: P15941
DP01795: Q9BUH6
DP01799: P49790
DP01804: P53999
DP01805: P40855
DP01835: O43715
DP01836: O14713
DP01842: P05106
DP01844: Q92540
DP01848: P05107
DP01861: P01042
DP01872: O95630
DP01876: P52926
DP01877: Q96AY2
DP01883: P02655
DP01884: Q9UKT5
DP01898: O60885
DP01907: Q13568
DP01914: Q96RI1
DP01921: Q92900
DP01935: P83731
DP01942: P50553
DP01951: P04083
DP01967: P0CF51
DP01976: P35520
DP01985: Q8TEK3
DP02003: P16220
DP02007: Q9H2Y7
DP02009: O75683
DP02013: P0DP23
DP02015: P52272
DP02027: P17405
DP02072: Q13415
DP02075: P28300
DP02078: P02686-5
DP02094: P49427
DP02096: P28698
DP02100: P60604
DP02123: P52948
DP02126: P30307
DP02142: Q2TAZ0
DP02160: P61328-2
DP02162: P16050
DP02163: Q02388
DP02164: Q8WUM0
DP02167: Q8N726-1
DP02171: P08621
DP02191: P51965
DP02224: P29375
DP02231: Q99958
DP02251: P68363
DP02253: Q96F86
DP02254: P14598
DP02290: Q92905
DP02294: P63165
DP02301: Q71UI9
DP02302: Q15843
DP02303: Q0JRZ9
DP02316: O43663
DP02328: P53779
DP02333: P13861
DP02338: O60701
DP02349: P51825
DP02353: P0DMV9
DP02360: O14810
DP02365: Q13464
DP02368: P29536
DP02373: Q92837
DP02375: Q96T58
DP02383: P08631
DP02386: Q9NYB9
DP02390: Q9NQS7
DP02396: Q7RTP6
DP02398: Q04637
DP02404: Q96N21
DP02405: Q8IYW5
DP02408: Q9P2K3-3
DP02414: P14653
DP02427: Q9BVI0
DP02428: Q5T4W7
DP02431: P15391
DP02445: Q96RS0
DP02449: Q15583
DP02452: Q8TEA8
DP02455: Q9UKX7
DP02457: O95400
DP02458: P17181
DP02465: P07199
DP02467: P51617
DP02468: P17480
DP02471: Q96G97
DP02473: Q15642
DP02475: Q86UE8
DP02477: Q01970
DP02510: P09327
DP02524: A5YKK6
DP02529: Q92558
DP02530: P18564
DP02533: P56696
DP02540: Q07812
DP02545: P07948
DP02546: P16070
DP02554: Q6P5W5
DP02555: Q15109
DP02558: Q9NP70
DP02559: Q969R2
DP02561: P60880
DP02571: P80192
DP02572: P55042
DP02574: P39905
DP02578: Q16647
DP02580: P28827
DP02585: Q9H900
DP02587: Q96PM5
DP02591: P78362
DP02592: Q9H8Y8
DP02594: P63241
DP02598: Q96H20
DP02604: P20020-1
DP02605: P02533
DP02606: P13647
DP02608: Q8IUQ4
DP02611: Q8N1G2
DP02612: Q9Y6D6
DP02616: Q9BUL9
DP02622: Q15113
DP02630: O14958
DP02632: P31321
DP02634: Q9UBV7
DP02637: P07237
DP02639: P78330
DP02647: O95278
DP02649: P01023
DP02651: P30542
DP02654: Q9H5I1
DP02656: P08294
DP02658: Q8N807
DP02661: Q6ZVN8
DP02673: P11926
DP02674: P54368
DP02676: Q9HD36
DP02684: P53816
DP02691: Q92608
DP02692: Q6R327
DP02694: Q8WUN7
DP02699: Q6V1X1
DP02703: O00411
DP02705: P45379
DP02706: Q9NXV2
DP02710: Q9BQ50
DP02712: Q9H3P2
DP02714: O60880
DP02724: Q13838
DP02729: Q96EP1
DP02731: Q5U651
DP02733: P20340
DP02742: P06756
DP02744: Q92574
DP02745: P05231
DP02746: Q14565
DP02747: Q9GZN7
DP02753: Q13617
DP02757: Q9GZU1
DP02758: Q13563
DP02759: Q14181
DP02765: Q14118
DP02781: Q9UPY3
DP02782: Q9NPI8
DP02783: P49189
DP02785: P16278
DP02794: P22234
DP02795: Q9NV23
DP02797: P20061
DP02801: P05452
DP02803: Q96Q11
DP02816: P48740-3
DP02824: Q14019
DP02825: P31153
DP02829: P46379
DP02831: Q13164
DP02832: Q7L2J0
DP02849: O43521
DP02850: O60239
DP02851: Q5FWF5
DP02852: P55197
DP02855: P11166
DP02856: P83916
DP02862: P08670
DP02868: Q9Y5S9
DP02869: Q16630
DP02872: Q8N5H7
DP02875: P55789
DP02885: Q10589
DP02904: Q8NBI3
DP02915: P48443
DP02916: Q14444
DP02918: P17947
DP02921: P26368
DP02922: P01215
DP02930: Q9Y6I3
DP02954: Q12888
DP02957: P47992
DP02971: Q5JRX3
DP02976: Q05193
DP02977: O75962
DP02978: Q9BSQ5
DP02981: P04275
DP03005: Q53TN4
DP03010: Q5D1E8
DP03011: P51787
DP03012: P40818
DP03016: P11274
DP03042: Q9UBU7
DP03044: Q9UIF9
DP03058: Q58F21
DP03059: Q15059
DP03061: P54132
DP03062: P40692
DP03063: Q9BRZ2
DP03070: Q8TEQ6
DP03074: O60825
DP03081: P0DJI8
DP03088: Q9BV68
DP03098: P02774
DP03100: Q14258
DP03101: O15344
DP03109: Q9BYI3
DP03115: Q6P4R8
DP03118: P30793
DP03120: Q9HC77
DP03121: P11686
DP03122: Q14691
DP03125: O14965
DP03135: P35680
DP03141: Q9BYG3
DP03142: Q16667
DP03143: P49327
DP03144: Q05397
DP03151: Q13363
DP03152: P42574
DP03153: Q658P3
DP03158: P54578
DP03159: Q9UBR1
DP03161: Q8WVQ1
DP03162: O00299
DP03163: O15247
DP03166: P00519
DP03168: P00519-2
DP03169: Q9NQC7
DP03170: Q8NBZ7
DP03173: O14727
DP03179: O95391
DP03182: Q17RS7
DP03185: O75223
DP03186: P28325
DP03191: P55145
DP03192: Q15013
DP03199: P00749
DP03203: P55210
DP03205: O95696
DP03206: Q8IYB8
DP03209: A6ND01
DP03211: Q9BRT9
DP03216: Q96EQ8
DP03223: P33316-2
DP03225: P19957
DP03228: P26447
DP03229: P05451
DP03230: P11940
DP03232: Q7KZF4
DP03233: Q92900-2
DP03235: P50148
DP03236: Q9UDY8
DP03237: Q9BZE9
DP03242: P23588
DP03245: Q9UQ35
DP03246: O75475
DP03248: Q9NYV4
DP03250: Q9UBW5
DP03251: Q8N300
