DP00004	P49913
DP00007	P27695
DP00011	P0DMM9
DP00012	P13569
DP00013	P0DN86
DP00017	P49918
DP00028	Q13541
DP00033	P10912
DP00054	P78356
DP00061	P27694
DP00062	P19793
DP00074	P03372
DP00075	P11387
DP00078	P01100
DP00079	Q92731
DP00084	P61244
DP00085	Q04206
DP00090	Q14722
DP00092	Q08209
DP00099	P50440
DP00134	Q06787
DP00138	P12272
DP00141	O95405
DP00152	Q13426
DP00162	O75324
DP00166	P19429
DP00168	Q9NVS9
DP00175	Q9NQB0
DP00177	Q9Y5B0
DP00184	P11473
DP00196	P20810
DP00214	P10451
DP00229	P05455
DP00236	P02686
DP00240	P35611
DP00241	P35612
DP00243	P23025
DP00260	P01106
DP00282	Q04656
DP00287	P40337
DP00297	P10415
DP00308	P06132
DP00309	P00533
DP00315	O43464
DP00319	O15350
DP00322	P11309
DP00323	O75469
DP00327	O14832
DP00332	P21815
DP00333	P27797
DP00334	Q00987
DP00339	P16442
DP00356	Q99967
DP00357	P62328
DP00358	Q15185
DP00378	P08047
DP00381	P35869
DP00392	Q09161
DP00418	P78504
DP00428	P53350
DP00448	Q9Y613
DP00457	Q9Y3D6
DP00464	Q13485
DP00466	P04156
DP00468	P25963
DP00473	Q49AN0
DP00485	Q9UBE0
DP00486	Q9UBT2
DP00492	P10275
DP00505	P04234
DP00506	P07766
DP00508	P09693
DP00509	P30273
DP00510	O60356
DP00517	P52179
DP00521	O95997
DP00537	O43236
DP00539	P51608
DP00543	Q14061
DP00546	Q9NX55
DP00549	O00488
DP00553	Q9NZ94
DP00555	Q16143
DP00565	P63098
DP00570	P09132
DP00576	P54252
DP00581	P11233
DP00592	P48539
DP00607	Q16595
DP00608	Q13573
DP00611	P30291
DP00616	P02788
DP00621	P00736
DP00624	P35638
DP00628	P15309
DP00630	O76070
DP00641	P51671
DP00666	P32004
DP00670	Q29983
DP00672	Q92886
DP00678	P11171
DP00683	Q99801
DP00702	P46937
DP00704	P24522
DP00706	Q15517
DP00707	Q9UER7
DP00712	Q9UGL1
DP00718	P37231
DP00747	P01160
DP00765	O00585
DP00775	P15311
DP00794	P50616
DP00796	P15382
DP00816	P41236
DP00841	O14733
DP00865	Q6P3W2
DP00887	P21246
DP00893	P08240
DP00901	O75496
DP00903	P47813
DP00907	Q9HB71-2
DP00910	P41567
DP00930	P80723
DP00961	P52630
DP00962	P42224
DP00973	P46108-2
DP01024	P27708
DP01063	Q9Y6C2
DP01065	Q9NQI0
DP01066	Q9NQI0-2
DP01070	P42568
DP01097	P61244-2
DP01098	Q16222-2
DP01100	P10636-8
DP01103	Q13698
DP01104	P46531
DP01106	P16471
DP01108	Q13148
DP01109	P22626
DP01112	P27986
DP01115	Q16236
DP01116	Q03164
DP01118	Q12834
DP01119	P35222
DP01123	P43403
DP01124	Q9Y261
DP01130	P49757
DP01131	O14558
DP01134	P10071
DP01149	Q14457
DP01156	P07305
DP01157	P04908
DP01159	A6NF83
DP01162	Q96SD1
DP01163	O14974
DP01164	Q13625
DP01167	P02730
DP01170	O00268
DP01171	P42768
DP01172	O43516
DP01173	Q15726
DP01174	O43474
DP01178	Q14978
DP01184	O96013
DP01192	P55036
DP01206	Q15797
DP01224	O43312
DP01228	Q9UMZ1
DP01236	P55735
DP01239	P20591
DP01240	Q9UJX2
DP01241	P19634
DP01244	O76074
DP01249	P61073
DP01252	P01137
DP01254	P12956
DP01259	P41208
DP01262	P49848
DP01268	Q9H816
DP01271	Q15691
DP01277	Q6VMQ6
DP01278	Q68DK7
DP01279	Q8N5Y2
DP01284	P24928
DP01288	O43313
DP01292	P49768
DP01303	O14519
DP01306	Q03518
DP01308	O60828
DP01311	Q6NUK1
DP01319	Q15796
DP01324	Q9HCJ0
DP01325	O43236-6
DP01327	Q8IV16
DP01328	Q9C0C7
DP01329	P28324
DP01332	P17931
DP01335	O94907
DP01337	Q96B02
DP01344	Q13469
DP01361	P15927
DP01400	P45985
DP01404	Q92913
DP01425	Q15004
DP01427	Q01094
DP01434	P31431
DP01435	O60829
DP01441	P14921
DP01443	Q9UJX4
DP01445	P30260
DP01449	Q15637
DP01450	Q9UKT4
DP01457	Q92973
DP01463	Q9UHB7
DP01465	Q8IW19
DP01473	Q96GU1
DP01474	P06748
DP01476	Q02413
DP01480	Q96FI4
DP01486	P11912
DP01489	Q9UBK2
DP01491	P22059
DP01493	P09429
DP01508	Q15418
DP01517	Q06710
DP01524	Q9UM11
DP01533	Q9NS23-4
DP01537	O00429-3
DP01549	Q8WYP5
DP01551	Q99523
DP01552	P33763
DP01561	P08235
DP01564	Q12905
DP01570	P12931
DP01580	P06239
DP01588	P52799
DP01590	Q92945
DP01598	Q9BRG1
DP01601	P26599
DP01603	Q96IZ0
DP01608	Q9Y6H6
DP01613	Q96AC1
DP01614	Q14653
DP01619	Q9NR28
DP01622	Q06609
DP01633	P29083
DP01640	Q13351
DP01648	P84022
DP01651	Q96T88
DP01654	P36578
DP01675	O75928
DP01701	Q5VZK9
DP01704	P62318
DP01705	Q07666
DP01720	Q9NT62
DP01736	P52597
DP01738	P04271
DP01747	P48788
DP01748	P05556
DP01750	P62877
DP01760	P37173
DP01764	O95718
DP01767	Q9H1D0
DP01769	Q8WUG5
DP01770	P50402
DP01784	Q86UX7
DP01788	P98177
DP01790	P15941
DP01795	Q9BUH6
DP01805	P40855
DP01807	P49005
DP01835	O43715
DP01836	O14713
DP01841	P08514
DP01842	P05106
DP01844	Q92540
DP01848	P05107
DP01849	O60260
DP01857	P09012
DP01861	P01042
DP01869	P51587
DP01876	P52926
DP01877	Q96AY2
DP01880	Q15596
DP01883	P02655
DP01884	Q9UKT5
DP01893	O14776
DP01907	Q13568
DP01921	Q92900
DP01925	Q02078
DP01935	P83731
DP01938	P11021
DP01942	P50553
DP01943	Q9NRY2
DP01950	P21333
DP01967	P0CF51
DP01976	P35520
DP01985	Q8TEK3
DP01990	P36894
DP02000	O14745
DP02007	Q9H2Y7
DP02013	P0DP23
DP02015	P52272
DP02034	P62805
DP02072	Q13415
DP02075	P28300
DP02078	P02686-5
DP02094	P49427
DP02096	P28698
DP02130	P02671
DP02142	Q2TAZ0
DP02148	Q676U5
DP02150	Q9HD26
DP02160	P61328-2
DP02162	P16050
DP02164	Q8WUM0
DP02167	Q8N726-1
DP02170	O15234
DP02171	P08621
DP02173	Q9BS26
DP02191	P51965
DP02210	Q03519
DP02224	P29375
DP02233	Q13547
DP02247	P10721
DP02251	P68363
DP02253	Q96F86
DP02254	P14598
DP02267	Q8IVG9
DP02269	Q9Y6K9
DP02290	Q92905
DP02303	Q0JRZ9
DP02309	Q96RF0
DP02316	O43663
DP02327	Q00169
DP02328	P53779
DP02346	Q9BTL3
DP02348	Q8N5F7
DP02353	P0DMV9
DP02359	Q8IYB3
DP02361	O95429
DP02364	Q9H6Z4-3
DP02365	Q13464
DP02373	Q92837
DP02375	Q96T58
DP02381	O60706-2
DP02382	Q15046
DP02383	P08631
DP02389	Q96GD4
DP02390	Q9NQS7
DP02393	Q8IZD2
DP02396	Q7RTP6
DP02398	Q04637
DP02405	Q8IYW5
DP02411	Q08050
DP02413	P04198
DP02414	P14653
DP02415	P54274
DP02419	Q5SQI0
DP02427	Q9BVI0
DP02428	Q5T4W7
DP02449	Q15583
DP02452	Q8TEA8
DP02457	O95400
DP02468	P17480
DP02475	Q86UE8
DP02477	Q01970
DP02479	O60502
DP02510	P09327
DP02523	Q9UKL0
DP02524	A5YKK6
DP02529	Q92558
DP02533	P56696
DP02539	Q16611
DP02540	Q07812
DP02545	P07948
DP02546	P16070
DP02559	Q969R2
DP02564	Q15717
DP02571	P80192
DP02572	P55042
DP02574	P39905
DP02578	Q16647
DP02580	P28827
DP02585	Q9H900
DP02591	P78362
DP02592	Q9H8Y8
DP02595	P25490
DP02598	Q96H20
DP02600	P35916
DP02601	Q96NW4
DP02605	P02533
DP02608	Q8IUQ4
DP02609	Q96PY5
DP02611	Q8N1G2
DP02612	Q9Y6D6
DP02614	Q3MIT2
DP02616	Q9BUL9
DP02637	P07237
DP02639	P78330
DP02645	Q9HC35
DP02649	P01023
DP02651	P30542
DP02656	P08294
DP02665	Q9Y5C1
DP02670	P15848
DP02676	Q9HD36
DP02678	O75936
DP02680	P23280
DP02682	P13797
DP02684	P53816
DP02692	Q6R327
DP02694	Q8WUN7
DP02697	Q02363
DP02698	P54687
DP02699	Q6V1X1
DP02701	Q15631
DP02702	Q14995
DP02703	O00411
DP02704	P41214
DP02705	P45379
DP02706	Q9NXV2
DP02709	P04035
DP02712	Q9H3P2
DP02713	P18615
DP02714	O60880
DP02717	O95071
DP02719	Q53FT3
DP02724	Q13838
DP02727	Q13526
DP02728	P42166
DP02730	Q6P1M3
DP02731	Q5U651
DP02733	P20340
DP02737	Q9NWW9
DP02742	P06756
DP02746	Q14565
DP02758	Q13563
DP02759	Q14181
DP02764	Q13162
DP02765	Q14118
DP02770	P01127
DP02781	Q9UPY3
DP02783	P49189
DP02785	P16278
DP02794	P22234
DP02797	P20061
DP02798	P23771
DP02801	P05452
DP02803	Q96Q11
DP02804	P61587
DP02812	A6NI73
DP02815	P62330
DP02816	P48740-3
DP02818	Q07157
DP02823	Q9UKY0
DP02829	P46379
DP02833	Q9Y4F1
DP02834	Q9Y2Z0
DP02838	P20807
DP02840	O60934
DP02850	O60239
DP02852	P55197
DP02854	Q9BYF1
DP02855	P11166
DP02856	P83916
DP02858	P18206-2
DP02860	P55211
DP02868	Q9Y5S9
DP02869	Q16630
DP02872	Q8N5H7
DP02876	Q8N884
DP02881	Q09428
DP02885	Q10589
DP02911	Q8N3V7
DP02915	P48443
DP02916	Q14444
DP02918	P17947
DP02921	P26368
DP02922	P01215
DP02930	Q9Y6I3
DP02953	P08572
DP02954	Q12888
DP02957	P47992
DP02976	Q05193
DP02977	O75962
DP02978	Q9BSQ5
DP02981	P04275
DP03005	Q53TN4
DP03012	P40818
DP03013	Q16821
DP03035	P35269
DP03037	Q96GX5
DP03039	Q00653
DP03044	Q9UIF9
DP03059	Q15059
DP03061	P54132
DP03062	P40692
DP03063	Q9BRZ2
DP03070	Q8TEQ6
DP03071	Q92499
DP03075	Q9H3M7
DP03081	P0DJI8
DP03092	O00308
DP03098	P02774
DP03100	Q14258
DP03104	P29590
DP03108	P15374
DP03109	Q9BYI3
DP03120	Q9HC77
DP03122	Q14691
DP03123	Q9BRX5
DP03125	O14965
DP03131	Q96AE4
DP03134	Q9NPF0
DP03135	P35680
DP03143	P49327
DP03144	Q05397
DP03145	P29317
DP03147	Q86Y38
DP03148	P41227
DP03155	P01019
DP03162	O00299
DP03163	O15247
DP03166	P00519
DP03170	Q8NBZ7
DP03171	Q16831
DP03172	Q9NRN7
DP03180	Q03692
DP03184	P09919
DP03190	P49257
DP03191	P55145
DP03195	Q9HAV4
DP03199	P00749
DP03201	Q96CV9
DP03203	P55210
DP03206	Q8IYB8
DP03211	Q9BRT9
DP03214	O60508
DP03216	Q96EQ8
DP03223	P33316-2
DP03232	Q7KZF4
DP03234	P49915
DP03235	P50148
DP03242	P23588
DP03243	Q68D10
DP03248	Q9NYV4
DP03249	Q96RJ3
DP03250	Q9UBW5
DP03251	Q8N300
DP03255	P16035
DP03256	P08253
DP03273	Q99835
DP03275	Q15276
DP03279	Q08188
DP03280	P19827
DP03281	Q2MKA7
DP03293	O43791
DP03296	P60484
DP03309	O60486
DP03312	P10619
DP03314	Q06141
DP03344	P36955
DP03345	O00214
DP03348	Q5T1C6
DP03351	P23677
DP03353	P05546
DP03364	Q15582
DP03365	P27469
DP03366	P53778
DP03378	P20849
DP03382	P98066
DP03383	Q8WVM7
DP03386	Q9Y237-2
DP03387	Q9Y237-1
DP03389	Q9UBT3
DP03394	O60493
DP03397	P13051-1
DP03399	P60484-2
DP03400	Q9H4L7
DP03403	Q8WXS3-1
DP03404	P56211
DP03405	P56211-2
DP03417	P10997
DP03433	Q13153
DP03437	Q9H9B1
DP03444	Q9UPP1
DP03446	Q9NR48
DP03448	P56524
DP03451	P21675
DP03452	Q6P1X5
DP03455	O00189
DP03456	P27635
DP03487	Q9GZZ9
DP03488	P43026
DP03497	P27361
DP03513	P34741
DP03514	O75056
DP03529	Q9NP98
DP03532	Q68J44
DP03552	P10636-2
DP03553	O94829
DP03554	Q9UKK9
DP03619	Q9NZD4
DP03622	Q12962
DP03624	Q6ZMT4
DP03626	O15054
DP03630	P07197
DP03635	P81605
DP03650	Q01484
DP03654	P63104
DP03666	Q12983
DP03669	Q4LE39
DP03670	P56962
DP03671	Q8TDY2
DP03672	O95197
DP03683	Q13137
DP03687	O00410
DP03688	Q6DD88
DP03690	P30518
DP03691	Q92847
DP03694	Q8IY63
DP03700	Q9H9R9
DP03701	Q9HBA0
DP03704	A0A1B0GTR3
DP03706	Q13480
DP03709	O96018
DP03711	Q9BXW4
DP03712	Q99623
DP03713	Q9H0E2
DP03719	O15392
DP03726	P40939
DP03729	Q8IYT8
DP03734	Q8NET8
DP03737	Q8NE35-2
DP03743	Q96QZ7
DP03755	A0A090N8E9
DP03756	P36888
DP03807	A8K2U0
DP03811	Q00266
DP03816	Q99986
DP03817	P42658
DP03820	P26196
DP03822	P78563
DP03823	P55011
DP03825	P15056
DP03830	Q9Y5P4
DP03832	Q16740
DP03833	Q9H9E3
DP03834	A4D126
DP03836	Q6PI48
DP03838	O00548
DP03839	Q92785
DP03841	P07814
DP03842	P37268
DP03843	Q9BYC5
DP03849	P00492
DP03851	P14678
DP03854	Q99714
DP03859	Q2M1P5
DP03861	P36776
DP03863	O43318
DP03864	P28482
DP03865	O95822
DP03866	Q8IVH4
DP03868	Q9H3L0
DP03873	P42898
DP03875	Q92913-2
DP03877	O43776
DP03882	P01111
DP03884	O96028
DP03885	P49902
DP03889	Q16625
DP03890	Q01968
DP03891	O15294
DP03892	P00439
DP03894	O75151
DP03896	Q13635
DP03917	Q14011
DP03919	O15151
DP03922	Q13586
DP03924	P78352
DP03926	P81274
DP03928	Q7RTN6
DP03945	Q16620
DP03946	Q9Y6K1
DP03949	O15294-3
DP03952	Q13224
DP03955	P33897
DP03959	Q9Y653
DP03960	P55263
DP03961	Q9NX46
DP03962	P30566
DP03963	O95831
DP03964	P47895
DP03966	P49419
DP03967	Q96BT7
DP03970	Q9NW15
DP03971	Q10567
DP03976	P28472
DP03977	P18507
DP04067	Q9H078
DP04074	Q9Y6X9
DP04076	P35790
DP04077	Q9UQ13
DP04078	P35790-2
DP04080	Q9ULK4
DP04086	P54577
DP04093	P30531
DP04094	P35219
DP04098	P49802
DP04100	O00584
DP04108	P52306-2
DP04112	Q3SYG4
DP04113	Q8NFJ9
DP04114	A0A0C4DGY3
DP04115	Q96RK4
DP04117	Q8N3I7
DP04119	Q01105-2
DP04120	O14775
DP04129	P42858
DP04135	Q92800
DP00008	Q64693
DP00111	P27577
DP00159	P09803
DP00181	P08775
DP00226	Q9CXW3
DP00341	Q02248
DP00348	P45481
DP00384	P63158
DP00397	Q9ES89
DP00435	Q01853
DP00446	O35718
DP00462	P11157
DP00563	Q61337
DP00564	Q6P8Z1
DP00587	Q9CQK7
DP00645	Q91ZE9
DP00646	Q01231
DP00653	P26039
DP00655	P59113
DP00708	O35613
DP00742	Q99LM3
DP00767	P27782
DP00815	Q9DCL8
DP00968	Q60795
DP00974	P42866
DP01022	Q6URW6
DP01073	Q61548
DP01105	P20444
DP01175	P28235
DP01190	Q9WUP7-2
DP01281	Q9JM54
DP01304	Q99LJ8
DP01315	Q9QWH1
DP01323	Q8R316
DP01397	Q9Z0P7
DP01464	P28229
DP01492	Q01097
DP01498	O70480
DP01541	Q9DBZ9
DP01548	Q8CJF7
DP01562	Q9Z1X4
DP01563	Q9CXY6
DP01594	Q80ZV0
DP01661	P70444
DP01667	Q548Y4
DP01794	Q99ML1
DP01879	Q9JIH2
DP01993	Q80VP1
DP02001	O08807
DP02061	P70447
DP02258	Q9JLC3
DP02296	P60761
DP02342	P06837
DP02369	Q00780
DP02387	P70429
DP02410	P21952
DP02412	O88513
DP02423	Q5RJI5
DP02426	Q80VW5
DP02456	O35625
DP02517	Q64487-12
DP02528	Q80UG2
DP02569	Q8R1S4
DP02570	Q8BPB0
DP02573	Q8VEL9
DP02579	Q8VDQ1
DP02586	P10761
DP02593	Q9ESJ0
DP02613	Q8K368
DP02621	P97427
DP02635	Q9ERE3
DP02659	Q91ZW2
DP02672	O35484
DP02683	Q9DBG5
DP02723	Q8VDP3
DP02755	Q69ZK9
DP02756	P21447
DP02791	O08908
DP02800	P63028
DP02802	Q921Z5
DP02805	Q91WA6
DP02811	Q8K419
DP02817	Q64373
DP02819	Q62420
DP02837	Q9QXN5
DP02853	Q99P68
DP02864	P83917
DP02870	P22893
DP02871	Q5D1E7
DP02873	P97465
DP02882	Q6A070
DP02896	Q91VS8
DP03007	P97784
DP03014	P62137
DP03067	Q07475
DP03082	P05367
DP03126	Q9WTL8
DP03258	Q60841
DP03367	Q61585
DP03381	P63277-2
DP03411	Q61081
DP03555	Q8K310
DP03625	Q5NCY0
DP03735	Q9ET78
DP00434	Q9SQZ9
DP00474	Q43125
DP00534	Q9LZP9
DP00610	Q9SLF3
DP00654	Q9ZPI5
DP00662	Q8LBP4
DP00667	P42763
DP00689	P30185
DP00723	Q9MAA7
DP00724	Q9LQT8
DP01057	Q42512
DP01085	Q9SKI4
DP01121	Q38825
DP01299	Q96273
DP01355	P46014
DP01467	Q9SP32
DP01543	P84634
DP01776	Q8GYN5
DP02209	O82132
DP02341	A0A178W0D3
DP02392	Q9ZVD0
DP02575	P83755
DP02597	O49195
DP02640	Q4F883
DP02641	Q8GY88
DP02642	P53780
DP02648	Q8GXX0
DP02696	Q9FLN8
DP02726	Q42521
DP02754	Q9S7B5
DP02962	Q9SN68
DP02966	Q9SU24
DP02995	Q84MC7
DP03096	O04147
DP03110	Q9FIX2
DP03136	F4IED2
DP03138	Q8GTS2
DP03139	Q4VP08
DP03140	O50008
DP03263	O80358
DP03265	O48963
DP03266	Q9M658
DP03268	Q682I1
DP03270	Q00958
DP03282	Q8L3W1
DP03283	O80452
DP03284	Q8GUI6
DP03285	Q8H1D4
DP03325	Q9SZF7
DP03469	Q8VZS8
DP03648	Q9SL42
DP03652	Q9LTJ1
DP03653	Q1ECR9
DP03655	Q9SSK9
DP03657	Q9SSA5
DP03674	Q9S7A9
DP00868	Q9NHC3
DP01313	Q9N4U5
DP01436	P54936
DP01437	P90976
DP01558	Q9XTY3
DP01973	Q09514
DP02025	P30429
DP02377	Q9GRZ3
DP02378	Q09260
DP02982	O01479
DP02987	Q22942
DP02989	Q03611
DP02990	Q9U489
DP02999	P34808
DP03045	P30429-2
DP03048	Q9XWJ1
DP03049	Q18235
DP03050	G5ED39
DP03057	Q20728
DP03102	O44326
DP03106	P34369
DP03107	Q23229
DP03218	O76463
DP03239	P52874
DP03302	G5EFZ1
DP03318	Q95ZK7
DP03320	P46580
DP03322	Q94218-2
DP03334	P90947
DP03335	P42573
DP00144	Q9VAN6
DP00328	Q08605
DP00346	P07140
DP00540	Q9VPU8
DP00594	P49869
DP00623	P83949
DP00721	Q8IRG6
DP00811	Q9V452
DP01250	P02283
DP01366	Q24139
DP01494	Q9VMA3
DP01495	P08510
DP01546	P84051
DP01749	P51023
DP01870	P84040
DP02384	P82804
DP02556	P09077
DP02623	P42003
DP02662	Q9VXJ0
DP02718	Q8ST83
DP02763	Q9VI75
DP02828	Q9W058
DP02836	P24785
DP02866	A1Z9S6
DP02891	Q9V727
DP03066	O16043
DP03083	Q9VNE4
DP03481	P10674
DP03483	P05661
DP03485	Q9VKJ9
DP03486	P05031
DP03708	Q8IGP5
DP03721	Q9W1M7
DP00089	P0ABJ1
DP00100	P0A6H5
DP00140	P0A7L8
DP00147	P0A7U3
DP00161	P77173
DP00194	P0AFZ3
DP00197	P0A707
DP00207	P21513
DP00242	P0AG63
DP00252	P0A877
DP00299	P0AE70
DP00301	P0ABQ4
DP00349	P06709
DP00377	P45577
DP00414	P0ABS1
DP00427	P0AFG8
DP00516	P60472
DP00578	P0AG16
DP00600	P60723
DP00626	P0AG11
DP00776	P0ACF8
DP00896	P10121
DP00989	P0ACX9
DP01050	P0A6X3
DP01169	P24255
DP01291	P0AE72
DP01339	P0A903
DP01488	P69346
DP01714	P0A8H8
DP01729	P69490
DP01735	P80644
DP01740	P68688
DP01837	P37330
DP01965	P0CE48
DP02011	P32684
DP02137	P0AGE0
DP02201	P0A9A6
DP02271	P29131
DP02484	P0AD27
DP02541	P0ACN7
DP02548	P0AES9
DP02663	P0A9Q9
DP02700	P0A8S9
DP02715	P00452
DP02716	P0A873
DP02750	P17109
DP02760	P76216
DP02863	P62558
DP02899	P23873
DP02900	P0A968
DP02923	P33128
DP03078	P76045
DP03091	P0AG86
DP03193	P16869
DP03240	P0A8Q6
